IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,85 ms,5012 kB/s
138.2.235.224,8443,true,SJC,North America,San Jose,214 ms,3767 kB/s
129.151.237.155,8443,true,MRS,Europe,Marseille,275 ms,3053 kB/s
132.145.24.99,8443,true,LHR,Europe,London,252 ms,2566 kB/s
152.69.199.70,8443,true,KIX,Asia Pacific,Osaka,86 ms,2217 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,296 ms,2024 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,205 ms,1883 kB/s
152.69.219.154,8443,true,SIN,Asia Pacific,Singapore,86 ms,823 kB/s
140.238.173.181,8443,true,ZRH,Europe,Zurich,276 ms,651 kB/s
47.254.171.15,8443,true,FRA,Europe,Frankfurt,272 ms,553 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,273 ms,416 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,276 ms,352 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,230 ms,333 kB/s
140.238.218.65,8443,true,ZRH,Europe,Zurich,314 ms,329 kB/s
